node	a_force.x	a_force.y	g_force.x	g_force.y	r_force.x	r_force.y	global_speed	move_node.x	move_node.y
0	1279.584473	-1275.219604	216.453125	-177.612518	0.000000	0.000000	3.750000	-1117.621094	716.412476
1	157.530090	1128.187256	87.013748	255.594376	0.000000	0.000000	3.750000	-313.638245	-972.498352
2	447.201416	-33.677586	259.933594	-4.771376	0.000000	0.000000	3.750000	-630.608398	110.687141
3	568.780334	365.954895	245.369629	97.413116	0.000000	0.000000	3.750000	-612.915588	-255.676315
4	-960.244751	1220.920898	-167.900589	221.570206	0.000000	0.000000	3.750000	756.152832	-953.395203
5	-320.894348	-1516.716553	-49.471947	-220.516754	0.000000	0.000000	3.750000	146.934952	1505.118652
6	6.015074	606.852295	91.996155	234.571014	0.000000	0.000000	3.750000	-82.985435	-733.742004
7	-1141.002808	-1115.043457	-199.432739	-216.015167	0.000000	0.000000	3.750000	906.335083	941.262756
8	-976.449890	561.998657	-207.244156	185.287567	0.000000	0.000000	3.750000	561.069580	-412.034576
9	-304.202301	1055.256348	-11.438313	285.770691	0.000000	0.000000	3.750000	-18.223976	-979.281311
10	-14.571129	723.946167	48.097275	275.834229	0.000000	0.000000	3.750000	-88.238335	-778.688660
11	-1593.504028	954.441284	-224.036682	161.191330	0.000000	0.000000	3.750000	1367.041016	-759.742310
12	1348.416016	973.244019	210.893570	122.717941	0.000000	0.000000	3.750000	-1392.260742	-695.529114
13	-109.599503	-1812.776611	16.485792	-273.494324	0.000000	0.000000	3.750000	-51.257610	811.468018
14	-1461.884155	87.496193	-242.338379	28.425060	0.000000	0.000000	3.750000	1341.468384	-103.529510
15	-1231.854980	1634.435059	-172.611115	237.979584	0.000000	0.000000	3.750000	501.254883	-886.064148
16	814.015747	1029.875610	183.843140	183.852280	0.000000	0.000000	3.750000	-973.160645	-940.333191
17	573.222778	-570.892090	235.489014	-132.077972	0.000000	0.000000	3.750000	-649.679382	388.052826
18	-964.565186	-435.363037	-211.136993	-114.106201	0.000000	0.000000	3.750000	704.133423	485.712433
19	1543.118530	73.981750	245.688416	12.366371	0.000000	0.000000	3.750000	-1554.748901	-168.092056
20	-1495.291504	-656.128662	-260.783447	-122.212585	0.000000	0.000000	3.750000	1355.960938	629.902588
21	-82.875977	1074.830078	63.958443	280.808014	0.000000	0.000000	3.750000	-352.915680	-1352.654907
22	1678.851929	1060.489014	229.699158	138.065826	0.000000	0.000000	3.750000	-1400.496338	-715.615051
23	1505.841309	-747.008484	222.054169	-85.647781	0.000000	0.000000	3.750000	-1560.219849	454.963715
24	-338.152039	-190.142670	-184.025024	-159.964508	0.000000	0.000000	3.750000	276.188477	113.160469
25	-1425.794189	1406.474854	-171.807465	187.077972	0.000000	0.000000	3.750000	1063.152100	-1212.748413
26	-1100.955322	-1271.338135	-173.049561	-183.187927	0.000000	0.000000	3.750000	984.957458	990.938110
27	927.935913	-1506.588501	160.720886	-216.952789	0.000000	0.000000	3.750000	-820.736023	1267.395386
28	1347.633057	-591.045166	247.713425	-107.414520	0.000000	0.000000	3.750000	-1311.437500	500.754578
29	-1343.531494	1698.957275	-167.008652	227.220322	0.000000	0.000000	3.750000	621.807495	-1232.899658
30	1363.616333	-825.969971	249.338104	-118.349068	0.000000	0.000000	3.750000	-1196.126709	562.908142
31	1606.172119	517.356079	256.980377	89.133133	0.000000	0.000000	3.750000	-1416.122192	-395.891937
32	-1517.301025	437.625122	-245.677643	64.481483	0.000000	0.000000	3.750000	1593.427124	-248.207397
33	-1850.858765	-412.602905	-259.263611	-82.253159	0.000000	0.000000	3.750000	1770.989258	394.335297
34	1447.498047	-1835.354126	202.062469	-208.016205	0.000000	0.000000	3.750000	-1247.062866	1306.720703
35	1318.912842	-1262.436279	220.947937	-187.834229	0.000000	0.000000	3.750000	-1192.522095	931.288818
36	-692.653259	-317.317078	-216.869827	-107.371597	0.000000	0.000000	3.750000	526.623291	355.739929
37	1498.470215	-641.315063	246.760071	-81.902679	0.000000	0.000000	3.750000	-1777.302368	372.025085
38	-964.023315	1431.780273	-142.973938	217.156281	0.000000	0.000000	3.750000	590.560974	-1240.945435
39	679.891541	699.080322	163.213623	181.375214	0.000000	0.000000	3.750000	-673.986267	-704.057312
40	-452.380798	944.339172	-135.904495	233.262848	0.000000	0.000000	3.750000	169.167160	-554.045837
41	525.406616	24.277126	263.412415	17.593130	0.000000	0.000000	3.750000	-675.226135	-5.931474
42	1218.170898	12.179759	251.705276	-12.181594	0.000000	0.000000	3.750000	-1277.567749	20.211506
43	185.244110	919.242554	101.968773	219.445312	0.000000	0.000000	3.750000	-177.929092	-615.054443
44	1133.527954	1074.701660	238.826492	188.085236	0.000000	0.000000	3.750000	-1126.079468	-696.208374
45	651.409729	814.439209	192.319336	177.916611	0.000000	0.000000	3.750000	-922.920654	-684.890381
46	-1762.358276	388.848694	-269.289490	76.693314	0.000000	0.000000	3.750000	1560.834717	-288.335907
47	-675.035767	-1205.541260	-107.254257	-234.644501	0.000000	0.000000	3.750000	318.468201	1129.578613
48	-1119.201172	-547.369385	-238.155975	-109.204788	0.000000	0.000000	3.750000	1079.902954	495.736633
49	-177.962387	-1079.287842	6.104918	-227.918243	0.000000	0.000000	3.750000	-33.907261	1109.362671
50	-604.231018	-637.975708	-179.687668	-173.808167	0.000000	0.000000	3.750000	522.875305	397.343994
51	-772.833740	941.910645	-106.103912	256.948242	0.000000	0.000000	3.750000	272.154480	-1254.016235
52	1001.304199	-711.365234	236.564209	-125.941948	0.000000	0.000000	3.750000	-1164.787720	611.931091
53	-1288.086426	-1413.466919	-164.964752	-185.177185	0.000000	0.000000	3.750000	1164.349854	1380.754150
54	-1124.692505	1035.312622	-195.358032	194.961273	0.000000	0.000000	3.750000	909.025024	-767.529297
55	794.544128	580.931274	248.812164	114.748520	0.000000	0.000000	3.750000	-934.487976	-352.446075
56	-332.826202	-414.732086	-66.005783	-251.454544	0.000000	0.000000	3.750000	162.564331	315.906342
57	-1406.440918	-622.025452	-231.085419	-110.160431	0.000000	0.000000	3.750000	1162.724731	491.885773
58	1518.143799	932.581909	251.590240	144.228500	0.000000	0.000000	3.750000	-1319.485229	-637.570496
59	-1623.203857	556.552246	-226.849457	105.060997	0.000000	0.000000	3.750000	1480.619263	-414.513702
60	-129.612396	1213.154297	-21.734209	289.182434	0.000000	0.000000	3.750000	-7.715214	-934.616943
61	-439.856018	242.999512	-220.394455	113.565109	0.000000	0.000000	3.750000	607.650452	-79.272835
62	-631.760986	842.772095	-110.879272	226.291901	0.000000	0.000000	3.750000	286.988281	-786.259277
63	777.121094	266.586029	233.670227	127.095642	0.000000	0.000000	3.750000	-682.473267	-408.308289
64	-1235.616943	-860.472168	-197.472870	-150.024704	0.000000	0.000000	3.750000	1207.309692	684.653320
65	1158.084229	98.539131	257.949738	5.057654	0.000000	0.000000	3.750000	-2102.869385	-188.296021
66	49.288643	-1270.315918	90.659271	-256.446655	0.000000	0.000000	3.750000	-388.751312	1095.146118
67	-1027.923340	-441.461273	-251.852081	-91.611420	0.000000	0.000000	3.750000	814.184937	369.980194
68	275.082031	-656.298645	101.868332	-249.995087	0.000000	0.000000	3.750000	-329.937042	501.730438
69	-227.178955	1145.412598	-41.429131	264.774780	0.000000	0.000000	3.750000	49.485653	-1081.394043
70	-1547.685547	-1179.000000	-217.485168	-169.927948	0.000000	0.000000	3.750000	1229.411499	780.326965
71	-406.040222	312.062012	-205.637512	184.041901	0.000000	0.000000	3.750000	297.524841	-371.543945
72	230.737457	178.224472	258.807556	95.404015	0.000000	0.000000	3.750000	-367.406738	-337.011902
73	1558.660645	95.636993	279.997742	-1.037394	0.000000	0.000000	3.750000	-1465.824219	-46.990379
74	-890.799072	1558.685547	-129.445572	246.006683	0.000000	0.000000	3.750000	253.012436	-1010.350952
75	-1214.470459	836.821167	-192.353333	159.679871	0.000000	0.000000	3.750000	968.299438	-571.220337
76	822.627197	498.273865	222.915649	141.418793	0.000000	0.000000	3.750000	-660.581177	-550.574219
77	-821.867432	-1833.957520	-129.681213	-272.736023	0.000000	0.000000	3.750000	542.363342	1620.811890
78	-520.750366	1703.594482	-64.090157	247.843414	0.000000	0.000000	3.750000	130.226227	-1672.703491
79	657.827148	-77.152084	275.760040	-11.213233	0.000000	0.000000	3.750000	-714.644958	125.569939
80	-1166.800659	112.778244	-267.852783	8.857388	0.000000	0.000000	3.750000	1163.866455	26.571535
81	-1782.378784	1022.903259	-234.894287	144.915833	0.000000	0.000000	3.750000	835.258301	-391.516022
82	763.361267	-1048.568359	190.312607	-202.645126	0.000000	0.000000	3.750000	-1167.158936	1205.885864
83	-984.730835	-814.466675	-212.171631	-146.789627	0.000000	0.000000	3.750000	1116.592041	751.578613
84	186.093979	411.428650	94.290215	198.769440	0.000000	0.000000	3.750000	-283.008911	-672.774597
85	-1652.650146	630.071045	-261.324036	116.206757	0.000000	0.000000	3.750000	1332.070190	-420.059479
86	1429.268311	14.867899	279.515778	16.355640	0.000000	0.000000	3.750000	-1267.057495	-242.876160
87	-1088.200317	-360.894165	-247.478302	-47.430031	0.000000	0.000000	3.750000	558.467163	106.622818
88	-1483.198242	-1114.642944	-202.268463	-156.916397	0.000000	0.000000	3.750000	1405.601196	843.928284
89	1550.592407	-719.820312	243.733063	-101.440521	0.000000	0.000000	3.750000	-1417.499023	571.726562
90	-1575.557617	-1284.253784	-222.337738	-183.054016	0.000000	0.000000	3.750000	1368.983032	884.889832
91	-1460.732910	828.626099	-208.246094	130.953125	0.000000	0.000000	3.750000	1274.558350	-587.526184
92	883.349426	-668.768433	238.567078	-130.647003	0.000000	0.000000	3.750000	-884.335022	574.823303
93	1160.679932	-1447.004517	194.256195	-196.062408	0.000000	0.000000	3.750000	-1036.201050	1099.991211
94	-661.585083	112.253159	-270.005920	45.904125	0.000000	0.000000	3.750000	330.604858	29.350283
95	321.771912	210.742950	237.361389	105.987968	0.000000	0.000000	3.750000	-536.835083	-482.367432
96	-1907.265503	368.949585	-275.572693	83.680954	0.000000	0.000000	3.750000	1691.221558	-327.004669
97	-541.676270	961.562805	-100.871170	217.766586	0.000000	0.000000	3.750000	255.801102	-921.829468
98	1607.614014	407.321533	293.185303	63.579628	0.000000	0.000000	3.750000	-1483.073242	-331.577026
99	-1517.618652	-197.849731	-247.093246	-21.187405	0.000000	0.000000	3.750000	1325.067017	116.612350
100	-992.653442	-1337.102295	-171.435135	-213.740479	0.000000	0.000000	3.750000	656.287598	1061.390991
101	-1146.528809	-1217.463257	-156.260681	-174.179718	0.000000	0.000000	3.750000	927.148926	1083.402222
102	779.379883	-472.314819	255.755356	-128.004089	0.000000	0.000000	3.750000	-870.667725	450.200073
103	160.480179	1124.939941	48.114967	251.435623	0.000000	0.000000	3.750000	-98.817474	-907.819824
104	92.000488	-83.078644	255.326141	-16.490061	0.000000	0.000000	3.750000	-118.488701	19.445440
105	-1429.285889	376.371429	-227.095352	71.215828	0.000000	0.000000	3.750000	1200.685059	-336.555206
106	453.347168	-1542.114502	107.204727	-252.156891	0.000000	0.000000	3.750000	-481.384613	1148.569092
107	-570.333069	-277.601746	-211.275330	-154.917450	0.000000	0.000000	3.750000	453.174805	274.771057
108	-430.596283	-1134.228149	-24.513233	-266.876526	0.000000	0.000000	3.750000	49.351536	845.479309
109	299.955322	1192.166016	63.981358	249.940735	0.000000	0.000000	3.750000	-273.581543	-1118.355103
